TF-IDF,Compressed TF-IDF,Count,Compressed Count,Word2Vec,BERT
"Mean: 0.7816666666666666, Confidence Interval: (0.7511290112229362, 0.8122043221103971)","Mean: 0.7783333333333335, Confidence Interval: (0.7480201451509965, 0.8086465215156706)","Mean: 0.8266666666666667, Confidence Interval: (0.7950221242198771, 0.8583112091134563)","Mean: 0.8266666666666665, Confidence Interval: (0.7964010396654333, 0.8569322936678998)","Mean: 0.58, Confidence Interval: (0.5557825627560085, 0.6042174372439915)","Mean: 0.8716666666666666, Confidence Interval: (0.8451865097352753, 0.8981468235980579)"
"Mean: 0.846, Confidence Interval: (0.8088830758937232, 0.8831169241062767)","Mean: 0.8775, Confidence Interval: (0.8438156925755231, 0.9111843074244768)","Mean: 0.8090000000000002, Confidence Interval: (0.7601561340869366, 0.8578438659130637)","Mean: 0.839, Confidence Interval: (0.7977487899490613, 0.8802512100509386)","Mean: 0.7788333333333334, Confidence Interval: (0.723627913426307, 0.8340387532403598)","Mean: 0.8971666666666667, Confidence Interval: (0.864512889542964, 0.9298204437903693)"
"Mean: 0.7383333333333333, Confidence Interval: (0.6661326097296956, 0.810534056936971)","Mean: 0.6666666666666667, Confidence Interval: (0.5870510903012344, 0.7462822430320991)","Mean: 0.8075, Confidence Interval: (0.7525609692477196, 0.8624390307522803)","Mean: 0.81, Confidence Interval: (0.7542231613182199, 0.8657768386817802)","Mean: 0.4016666666666666, Confidence Interval: (0.3176053612600369, 0.4857279720732963)","Mean: 0.8558333333333333, Confidence Interval: (0.8086724065918971, 0.9029942600747696)"
"Mean: 0.6896349206349208, Confidence Interval: (0.6277075962698851, 0.7515622449999565)","Mean: 0.6348333333333332, Confidence Interval: (0.5624606203897464, 0.7072060462769201)","Mean: 0.7839999999999999, Confidence Interval: (0.7357260270232191, 0.8322739729767807)","Mean: 0.7841031746031746, Confidence Interval: (0.7368295804501155, 0.8313767687562337)","Mean: 0.34357142857142847, Confidence Interval: (0.27634426045218274, 0.4107985966906742)","Mean: 0.8398650793650795, Confidence Interval: (0.8017955791922717, 0.8779345795378872)"
"Mean: 0.9470277777777777, Confidence Interval: (0.9259464551094904, 0.968109100446065)","Mean: 0.9174999999999999, Confidence Interval: (0.8888795648202801, 0.9461204351797197)","Mean: 0.8891666666666669, Confidence Interval: (0.8562520167237585, 0.9220813166095753)","Mean: 0.85375, Confidence Interval: (0.8158309883061345, 0.8916690116938655)","Mean: 0.5408333333333333, Confidence Interval: (0.48924478736323795, 0.5924218793034286)","Mean: 0.9498611111111112, Confidence Interval: (0.9276323872080612, 0.9720898350141611)"
3.249690294265747,3.4775807857513428,19.52980947494507,6.4266698360443115,3.5947022438049316,6.829987525939941
"Mean: 0.745, Confidence Interval: (0.7167268160029096, 0.7732731839970904)",,"Mean: 0.8783333333333334, Confidence Interval: (0.8506706259861163, 0.9059960406805505)",,,
"Mean: 0.8608333333333333, Confidence Interval: (0.8259935254820964, 0.8956731411845703)",,"Mean: 0.8593333333333333, Confidence Interval: (0.8233634319403322, 0.8953032347263343)",,,
"Mean: 0.6433333333333333, Confidence Interval: (0.5597909278669408, 0.7268757387997258)",,"Mean: 0.9333333333333335, Confidence Interval: (0.9013266673609666, 0.9653399993057004)",,,
"Mean: 0.5925158730158729, Confidence Interval: (0.5207678421317219, 0.664263903900024)",,"Mean: 0.8786782106782107, Confidence Interval: (0.849869767201496, 0.9074866541549255)",,,
"Mean: 0.9483472222222225, Confidence Interval: (0.927158409169643, 0.9695360352748019)",,"Mean: 0.896875, Confidence Interval: (0.8690035287415963, 0.9247464712584037)",,,
3.9950361251831055,,3.3885140419006348,,,
"Mean: 0.7933333333333333, Confidence Interval: (0.7626475248146639, 0.8240191418520028)",,"Mean: 0.8900000000000001, Confidence Interval: (0.864187131546886, 0.9158128684531143)",,,
"Mean: 0.8451666666666666, Confidence Interval: (0.8015538038392851, 0.8887795294940481)",,"Mean: 0.8573333333333334, Confidence Interval: (0.8233244621769229, 0.8913422044897439)",,,
"Mean: 0.7366666666666666, Confidence Interval: (0.663888148468567, 0.8094451848647661)",,"Mean: 0.9491666666666667, Confidence Interval: (0.9192365296806788, 0.9790968036526546)",,,
"Mean: 0.6995079365079365, Confidence Interval: (0.6351134346170315, 0.7639024383988415)",,"Mean: 0.8858730158730158, Confidence Interval: (0.8549618137004524, 0.9167842180455792)",,,
"Mean: 0.9493055555555554, Confidence Interval: (0.9284867837926476, 0.9701243273184632)",,"Mean: 0.9050694444444445, Confidence Interval: (0.8776775745213121, 0.9324613143675768)",,,
3.8470077514648438,,2.197998285293579,,,
"Mean: 0.7666666666666667, Confidence Interval: (0.7356763455970166, 0.7976569877363169)","Mean: 0.7383333333333333, Confidence Interval: (0.7033769471738154, 0.7732897194928512)","Mean: 0.7533333333333333, Confidence Interval: (0.7225225877330651, 0.7841440789336015)","Mean: 0.7466666666666667, Confidence Interval: (0.7122563994650176, 0.7810769338683158)","Mean: 0.5666666666666667, Confidence Interval: (0.5470666666666667, 0.5862666666666666)","Mean: 0.8750000000000001, Confidence Interval: (0.8503913520169119, 0.8996086479830884)"
"Mean: 0.71, Confidence Interval: (0.6660709238279094, 0.7539290761720905)","Mean: 0.7410000000000001, Confidence Interval: (0.6865682360544672, 0.795431763945533)","Mean: 0.7179999999999999, Confidence Interval: (0.6750742598018908, 0.7609257401981089)","Mean: 0.7683333333333333, Confidence Interval: (0.7245612189224439, 0.8121054477442228)","Mean: 0.8146666666666667, Confidence Interval: (0.7684383585715899, 0.8608949747617434)","Mean: 0.8911666666666668, Confidence Interval: (0.859777909365861, 0.9225554239674726)"
"Mean: 0.8666666666666667, Confidence Interval: (0.8122004487982587, 0.9211328845350747)","Mean: 0.7108333333333334, Confidence Interval: (0.6484470553727292, 0.7732196112939377)","Mean: 0.8883333333333333, Confidence Interval: (0.8368784076431938, 0.9397882590234728)","Mean: 0.7641666666666667, Confidence Interval: (0.7171076716592176, 0.8112256616741157)","Mean: 0.38666666666666666, Confidence Interval: (0.29302323514759715, 0.48031009818573617)","Mean: 0.8600000000000001, Confidence Interval: (0.8138670789999161, 0.9061329210000841)"
"Mean: 0.735463924963925, Confidence Interval: (0.6887824454404505, 0.7821454044873994)","Mean: 0.6831428571428572, Confidence Interval: (0.6294790170627049, 0.7368066972230094)","Mean: 0.7484444444444446, Confidence Interval: (0.7057466918705186, 0.7911421970183705)","Mean: 0.7299126984126986, Confidence Interval: (0.6953024808312236, 0.7645229159941735)","Mean: 0.27304761904761904, Confidence Interval: (0.2069287126104702, 0.3391665254847679)","Mean: 0.8425396825396827, Confidence Interval: (0.8031420388174473, 0.8819373262619181)"
"Mean: 0.8322361111111113, Confidence Interval: (0.8024400416121068, 0.8620321806101158)","Mean: 0.8221527777777777, Confidence Interval: (0.7845984938383017, 0.8597070617172538)","Mean: 0.8167916666666666, Confidence Interval: (0.7814559409344617, 0.8521273923988715)","Mean: 0.8135555555555556, Confidence Interval: (0.7729529176484892, 0.854158193462622)","Mean: 0.5663194444444444, Confidence Interval: (0.5292319988848926, 0.6034068900039962)","Mean: 0.9588888888888889, Confidence Interval: (0.9433547048198314, 0.9744230729579464)"
4.486475467681885,3.073698043823242,1.7412350177764893,2.910806655883789,2.1916868686676025,1.4754009246826172
"Mean: 0.8816666666666667, Confidence Interval: (0.8550097859622615, 0.9083235473710719)","Mean: 0.825, Confidence Interval: (0.7971374205549211, 0.8528625794450788)","Mean: 0.8183333333333332, Confidence Interval: (0.786295009753942, 0.8503716569127245)","Mean: 0.8249999999999998, Confidence Interval: (0.793880820490679, 0.8561191795093207)","Mean: 0.5883333333333334, Confidence Interval: (0.5604401314534647, 0.616226535213202)","Mean: 0.8733333333333334, Confidence Interval: (0.8459556262627177, 0.9007110404039491)"
"Mean: 0.9023333333333333, Confidence Interval: (0.8707190875711597, 0.933947579095507)","Mean: 0.8621666666666666, Confidence Interval: (0.8265679277938732, 0.89776540553946)","Mean: 0.8466666666666666, Confidence Interval: (0.8070200442800538, 0.8863132890532793)","Mean: 0.826, Confidence Interval: (0.7812018142034003, 0.8707981857965996)","Mean: 0.7541666666666665, Confidence Interval: (0.7013326882268616, 0.8070006451064715)","Mean: 0.8648333333333333, Confidence Interval: (0.8287994827110828, 0.9008671839555839)"
"Mean: 0.8691666666666665, Confidence Interval: (0.8190228013057539, 0.9193105320275792)","Mean: 0.7666666666666666, Confidence Interval: (0.7005217080110324, 0.8328116253223008)","Mean: 0.8091666666666666, Confidence Interval: (0.7533317453957152, 0.8650015879376179)","Mean: 0.8225, Confidence Interval: (0.7705068667995475, 0.8744931332004525)","Mean: 0.4525, Confidence Interval: (0.364595250349534, 0.540404749650466)","Mean: 0.8775000000000002, Confidence Interval: (0.8367349971721386, 0.9182650028278617)"
"Mean: 0.8463412698412698, Confidence Interval: (0.8022913317541228, 0.8903912079284168)","Mean: 0.741968253968254, Confidence Interval: (0.6837253445205087, 0.8002111634159994)","Mean: 0.7822777777777777, Confidence Interval: (0.7351781034117832, 0.8293774521437722)","Mean: 0.7876428571428572, Confidence Interval: (0.742742812380032, 0.8325429019056824)","Mean: 0.3723412698412698, Confidence Interval: (0.30295203081537625, 0.44173050886716336)","Mean: 0.8519365079365079, Confidence Interval: (0.8160520069759931, 0.8878210088970226)"
"Mean: 0.9448611111111112, Confidence Interval: (0.9176294852353117, 0.9720927369869106)","Mean: 0.881388888888889, Confidence Interval: (0.8396395128900037, 0.9231382648877743)","Mean: 0.8915277777777778, Confidence Interval: (0.856131675735112, 0.9269238798204437)","Mean: 0.8191527777777777, Confidence Interval: (0.7754637266428425, 0.862841828912713)","Mean: 0.43604166666666666, Confidence Interval: (0.37612516132317086, 0.49595817201016246)","Mean: 0.9498611111111112, Confidence Interval: (0.9306230875078276, 0.9690991347143947)"
3.412679672241211,3.1838152408599854,3.998836040496826,3.3692800998687744,3.2744126319885254,3.6762962341308594
"Mean: 0.8483333333333333, Confidence Interval: (0.8205781984730752, 0.8760884681935913)","Mean: 0.7733333333333334, Confidence Interval: (0.7439260749700578, 0.802740591696609)","Mean: 0.6116666666666667, Confidence Interval: (0.5839269150055176, 0.6394064183278158)","Mean: 0.625, Confidence Interval: (0.6008288739746503, 0.6491711260253497)","Mean: 0.5633333333333334, Confidence Interval: (0.5368834175594704, 0.5897832491071963)","Mean: 0.7283333333333332, Confidence Interval: (0.6999847640964603, 0.7566819025702061)"
"Mean: 0.9256666666666666, Confidence Interval: (0.8977278996215732, 0.9536054337117601)","Mean: 0.8183333333333331, Confidence Interval: (0.7773356905826687, 0.8593309760839976)","Mean: 0.7433333333333333, Confidence Interval: (0.6924026580100187, 0.7942640086566479)","Mean: 0.7636666666666666, Confidence Interval: (0.7219699219176258, 0.8053634114157074)","Mean: 0.8140000000000001, Confidence Interval: (0.7600837285166466, 0.8679162714833535)","Mean: 0.8973333333333332, Confidence Interval: (0.8644397031225395, 0.9302269635441269)"
"Mean: 0.7566666666666666, Confidence Interval: (0.6994449598297211, 0.8138883735036121)","Mean: 0.7633333333333334, Confidence Interval: (0.6984622351633643, 0.8282044315033026)","Mean: 0.5591666666666667, Confidence Interval: (0.4683646439897339, 0.6499686893435995)","Mean: 0.605, Confidence Interval: (0.5156096497875128, 0.6943903502124872)","Mean: 0.29, Confidence Interval: (0.20753753069156583, 0.37246246930843413)","Mean: 0.5241666666666667, Confidence Interval: (0.438535905124904, 0.6097974282084293)"
"Mean: 0.7826904761904763, Confidence Interval: (0.7353389833718951, 0.8300419690090575)","Mean: 0.7094682539682539, Confidence Interval: (0.6578772637035397, 0.761059244232968)","Mean: 0.44544444444444437, Confidence Interval: (0.3766710951431092, 0.5142177937457795)","Mean: 0.48338095238095236, Confidence Interval: (0.4145114928140512, 0.5522504119478535)","Mean: 0.23076190476190475, Confidence Interval: (0.16683812075487198, 0.2946856887689375)","Mean: 0.5043809523809523, Confidence Interval: (0.42834060912379257, 0.580421295638112)"
"Mean: 0.9379166666666667, Confidence Interval: (0.9132067300126717, 0.9626266033206617)","Mean: 0.8695277777777778, Confidence Interval: (0.8193209392426604, 0.9197346163128952)","Mean: 0.5504722222222221, Confidence Interval: (0.480031091686693, 0.6209133527577513)","Mean: 0.6189583333333333, Confidence Interval: (0.5492309996722019, 0.6886856669944647)","Mean: 0.42708333333333326, Confidence Interval: (0.3694501213639004, 0.48471654530276614)","Mean: 0.7738194444444446, Confidence Interval: (0.7021313218751135, 0.8455075670137757)"
1.4720826148986816,3.215643882751465,3.9365696907043457,3.804248571395874,3.0078890323638916,3.5739786624908447
"Mean: 0.8616666666666666, Confidence Interval: (0.8347072642664319, 0.8886260690669012)","Mean: 0.8533333333333333, Confidence Interval: (0.8270859156825751, 0.8795807509840915)","Mean: 0.66, Confidence Interval: (0.632312229735455, 0.6876877702645451)","Mean: 0.6466666666666666, Confidence Interval: (0.6204192490159084, 0.6729140843174248)","Mean: 0.575, Confidence Interval: (0.552191741261844, 0.5978082587381559)","Mean: 0.6516666666666667, Confidence Interval: (0.6227811308783561, 0.6805522024549774)"
"Mean: 0.9364999999999999, Confidence Interval: (0.9101847949403137, 0.9628152050596861)","Mean: 0.9055, Confidence Interval: (0.8720264521616113, 0.9389735478383886)","Mean: 0.7926666666666666, Confidence Interval: (0.7476451258272467, 0.8376882075060865)","Mean: 0.7895, Confidence Interval: (0.7435115167508695, 0.8354884832491305)","Mean: 0.8295, Confidence Interval: (0.7836365235072613, 0.8753634764927387)","Mean: 0.8401666666666666, Confidence Interval: (0.8000249420787906, 0.8803083912545426)"
"Mean: 0.7575000000000002, Confidence Interval: (0.6924492318774536, 0.8225507681225468)","Mean: 0.7625, Confidence Interval: (0.6968255778691412, 0.8281744221308587)","Mean: 0.5691666666666666, Confidence Interval: (0.4854336776148266, 0.6528996557185066)","Mean: 0.5233333333333333, Confidence Interval: (0.43507044217540924, 0.6115962244912574)","Mean: 0.37, Confidence Interval: (0.2776532341900619, 0.4623467658099381)","Mean: 0.515, Confidence Interval: (0.4252891016158634, 0.6047108983841366)"
