TF-IDF,Compressed TF-IDF,Count,Compressed Count,Word2Vec,BERT
"Mean: 0.7499719101123595, Confidence Interval: (0.7450484621750944, 0.7548953580496247)","Mean: 0.7278651685393258, Confidence Interval: (0.7226628518751453, 0.7330674852035063)","Mean: 0.764691011235955, Confidence Interval: (0.759888259622008, 0.7694937628499019)","Mean: 0.76438202247191, Confidence Interval: (0.7598218018224047, 0.7689422431214153)","Mean: 0.6476966292134833, Confidence Interval: (0.6429668066734779, 0.6524264517534886)","Mean: 0.7754494382022472, Confidence Interval: (0.7707288274699213, 0.7801700489345731)"
"Mean: 0.7202458001748847, Confidence Interval: (0.7049119709081951, 0.7355796294415743)","Mean: 0.6939251927274535, Confidence Interval: (0.6781075796553678, 0.7097428057995391)","Mean: 0.7552050538370998, Confidence Interval: (0.7437973438320332, 0.7666127638421664)","Mean: 0.7643637360628531, Confidence Interval: (0.7529427141467935, 0.7757847579789128)","Mean: 1.0, Confidence Interval: (1.0, 1.0)","Mean: 0.6869271318382764, Confidence Interval: (0.6755260306724765, 0.6983282330040762)"
"Mean: 0.5046092981887302, Confidence Interval: (0.47786085066540185, 0.5313577457120586)","Mean: 0.44501368436812355, Confidence Interval: (0.41940690780983775, 0.47062046092640936)","Mean: 0.4989137146919497, Confidence Interval: (0.48868086416846857, 0.5091465652154308)","Mean: 0.49124281039795276, Confidence Interval: (0.4793887251266765, 0.503096895669229)","Mean: 0.0, Confidence Interval: (0.0, 0.0)","Mean: 0.6951393592086441, Confidence Interval: (0.6722877801521677, 0.7179909382651205)"
"Mean: 0.5757365388615162, Confidence Interval: (0.5591448138706404, 0.592328263852392)","Mean: 0.5246682133869103, Confidence Interval: (0.506814474185528, 0.5425219525882925)","Mean: 0.5984683915732217, Confidence Interval: (0.5901608883512345, 0.606775894795209)","Mean: 0.5950481641093952, Confidence Interval: (0.5862868530201585, 0.6038094751986319)","Mean: 0.0, Confidence Interval: (0.0, 0.0)","Mean: 0.6819414748074324, Confidence Interval: (0.6709839965716168, 0.692898953043248)"
"Mean: 0.8382676539946946, Confidence Interval: (0.8337518502915897, 0.8427834576977995)","Mean: 0.8016896779035652, Confidence Interval: (0.7967451938686468, 0.8066341619384835)","Mean: 0.8558013091329849, Confidence Interval: (0.8519501471691395, 0.8596524710968303)","Mean: 0.8536828713854999, Confidence Interval: (0.8499738520418546, 0.8573918907291452)","Mean: 0.6145117972600126, Confidence Interval: (0.6063674094183844, 0.6226561851016408)","Mean: 0.86286263952466, Confidence Interval: (0.8591226737084484, 0.8666026053408716)"
49.60150361061096,7.601178407669067,81.37082982063293,34.097750663757324,7.08324670791626,97.33075761795044
"Mean: 0.7225000000000001, Confidence Interval: (0.7173023379599099, 0.7276976620400903)",,"Mean: 0.7363202247191012, Confidence Interval: (0.7316507238364999, 0.7409897256017025)",,,
"Mean: 0.8767085208977727, Confidence Interval: (0.8625133325306676, 0.8909037092648778)",,"Mean: 0.6456823334536236, Confidence Interval: (0.6355907924986796, 0.6557738744085676)",,,
"Mean: 0.25392328115252716, Confidence Interval: (0.24107744633862713, 0.2667691159664272)",,"Mean: 0.5588921156426117, Confidence Interval: (0.5353835444972339, 0.5824006867879894)",,,
"Mean: 0.38743776631822757, Confidence Interval: (0.3721357173901973, 0.40273981524625785)",,"Mean: 0.5901478841095839, Confidence Interval: (0.5782763823179948, 0.6020193859011729)",,,
